timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
02:48.514 30 2.91 -1.83 -104.75
02:49.225 30 2.91 -1.83 -104.75
02:49.394 30 2.91 -1.83 -104.75
02:49.559 30 2.91 -1.83 -104.75
02:49.885 30 0.79 -0.05 -107.70
02:50.096 30 0.30 -0.05 -107.87
02:50.341 30 -0.06 0.39 -107.82
02:50.915 30 -0.04 0.75 -107.78
02:51.189 30 -1.10 0.59 -107.59
02:51.469 30 -1.01 0.62 -107.58
02:52.874 30 -0.99 0.62 -107.55
02:53.002 30 -0.93 0.66 -107.58
02:53.140 30 -0.88 0.67 -107.58
02:53.589 30 -0.86 0.62 -107.56
02:53.804 30 -0.76 0.64 -107.58
02:54.001 30 -0.69 0.61 -107.59
02:54.477 30 -0.69 0.60 -107.58
02:54.633 30 -0.62 0.57 -107.59
02:54.780 30 -0.61 0.56 -107.60
02:54.985 30 -0.52 0.61 -107.61
02:55.791 30 -0.48 0.60 -107.60
02:55.837 30 -0.50 0.58 -107.60
02:56.048 30 -0.40 -4.45 176.28
02:56.411 30 -2.41 -7.74 176.59
02:56.780 30 -2.39 -0.32 175.19
02:57.287 30 -0.37 3.78 173.94
02:57.648 30 -0.48 3.89 173.60
02:59.051 30 -0.34 3.86 173.60
02:59.095 30 -0.36 3.86 173.45
02:59.319 30 -0.31 3.80 173.44
02:59.680 30 -0.22 3.76 173.39
02:59.898 30 -0.23 3.70 173.16
03:00.004 30 -0.15 3.62 173.17
03:00.548 30 -0.28 3.53 172.99
03:00.592 30 -0.21 3.40 172.91
03:00.810 30 -0.18 3.36 172.73
03:00.929 30 -0.37 3.22 172.47
03:01.743 30 -0.44 3.15 172.28
03:01.849 30 -0.54 3.05 171.88
03:02.279 30 2.55 1.76 156.20
03:02.602 30 7.31 5.65 165.97
03:03.341 30 9.45 5.61 177.28
03:03.811 30 10.71 6.18 -179.46
03:04.997 30 11.19 6.42 -178.31
03:05.132 30 11.47 6.57 -177.44
03:05.279 30 12.06 6.82 -176.27
03:05.749 30 12.30 6.99 -175.39
03:06.201 30 12.69 7.20 -174.54
03:06.335 30 12.93 7.34 -173.66
03:06.597 30 13.22 7.57 -172.47
03:07.115 30 13.39 7.75 -171.63
03:07.255 30 13.64 7.96 -170.48
03:07.456 30 13.86 8.18 -169.60
03:08.010 30 14.03 8.27 -168.76
03:08.141 30 14.26 8.46 -167.64
