timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:28.713 0 58.552259 -28.097407 -2.386481 4.22 -173.22 53.26
01:28.749 0 58.549238 -28.096463 -2.485453 3.62 -172.49 53.10
01:28.780 0 58.551608 -28.095276 -2.483710 4.48 -173.40 53.10
01:28.814 0 58.552442 -28.094564 -2.485566 4.88 -172.91 53.01
01:28.849 0 58.554298 -28.093734 -2.484177 3.83 -172.47 53.08
01:28.880 0 58.556829 -28.093158 -2.485936 4.27 -172.09 52.99
01:28.914 0 58.562695 -28.095838 -2.384535 2.83 -171.92 53.28
01:28.947 0 58.560271 -28.094176 -2.484984 3.53 -172.45 52.92
01:28.980 0 58.560271 -28.094176 -2.484984 3.53 -172.45 52.92
01:29.014 0 58.559547 -28.094217 -2.486280 4.33 -171.88 53.00
01:29.047 0 58.563577 -28.096268 -2.386985 4.79 -171.83 53.12
01:29.080 0 58.559229 -28.094807 -2.483548 3.89 -171.96 52.96
01:29.114 0 58.560658 -28.095596 -2.483191 4.26 -172.58 53.07
01:29.147 0 58.560135 -28.096755 -2.486474 4.34 -171.86 53.00
01:29.180 0 58.560607 -28.096751 -2.485137 4.95 -172.44 53.08
01:29.214 0 58.559480 -28.096125 -2.482485 4.27 -172.29 53.12
01:29.248 0 58.559496 -28.095014 -2.484335 3.91 -172.24 52.91
01:29.280 0 58.563043 -28.097269 -2.380618 2.67 -172.78 53.16
01:29.314 0 58.562374 -28.097574 -2.383065 1.15 -171.77 53.19
01:29.347 0 58.562462 -28.097213 -2.382718 2.11 -171.97 53.08
01:29.382 0 58.559190 -28.094963 -2.482357 3.44 -172.79 53.00
01:29.413 0 58.558911 -28.094774 -2.481549 3.38 -172.49 53.05
01:29.447 0 58.559190 -28.094963 -2.482357 3.44 -172.79 53.00
01:29.480 0 58.558982 -28.093893 -2.482056 4.52 -172.62 53.05
01:29.514 0 58.562437 -28.093993 -2.383411 4.67 -172.62 53.38
01:29.547 0 58.558477 -28.090616 -2.484329 5.22 -172.98 53.00
01:29.580 0 58.557209 -28.090529 -2.485708 4.67 -172.48 53.11
01:29.614 0 58.563152 -28.091245 -2.483850 4.26 -172.75 53.26
01:29.647 0 58.572532 -28.097077 -2.383467 3.73 -172.02 53.89
01:29.681 0 58.567721 -28.096810 -2.484344 4.42 -172.55 53.51
01:29.714 0 58.565763 -28.099829 -2.485047 2.74 -171.42 53.48
01:29.748 0 58.570265 -28.101602 -2.383983 4.76 -171.47 53.94
01:29.781 0 58.571107 -28.102264 -2.383639 3.75 -171.98 53.69
01:29.814 0 58.567837 -28.100786 -2.483912 4.44 -172.20 53.57
01:29.848 0 58.569304 -28.099550 -2.484544 5.73 -172.62 53.67
01:29.880 0 58.574409 -28.106676 -2.483574 3.51 -171.92 53.63
01:29.914 0 59.329611 -28.399682 -2.488426 5.73 -172.02 53.84
01:29.947 0 59.328002 -28.400826 -2.487975 4.20 -170.68 53.87
01:29.980 0 59.327766 -28.401461 -2.487538 4.57 -171.28 53.98
01:30.014 0 59.326505 -28.400714 -2.489751 4.98 -171.37 53.74
01:30.047 0 59.326540 -28.401081 -2.489156 4.10 -171.40 53.74
01:30.085 0 59.327050 -28.401105 -2.487652 4.67 -172.04 53.83
01:30.121 0 59.330822 -28.404899 -2.384212 2.44 -172.29 54.29
01:30.155 0 59.325667 -28.400647 -2.487533 3.45 -171.46 53.73
01:30.187 0 59.328912 -28.400760 -2.386349 5.30 -170.78 54.46
01:30.220 0 59.323956 -28.396547 -2.485207 3.55 -170.57 53.91
01:30.253 0 59.327265 -28.398837 -2.487322 4.82 -172.00 54.00
01:30.287 0 59.327058 -28.398592 -2.484723 4.43 -172.12 54.14
01:30.319 0 59.325791 -28.397673 -2.486193 3.82 -171.43 54.06
01:30.351 0 59.325800 -28.397020 -2.487154 4.82 -172.02 54.00
01:30.385 0 59.324110 -28.398176 -2.487197 3.23 -170.54 54.02
01:30.419 0 59.323954 -28.397937 -2.487082 4.73 -171.29 54.15
01:30.452 0 59.324786 -28.398560 -2.487514 4.86 -172.02 54.18
01:30.483 0 59.323957 -28.399140 -2.486329 3.83 -171.43 54.06
01:30.514 0 59.324786 -28.398560 -2.487514 4.86 -172.02 54.18
01:30.547 0 59.327552 -28.405807 -2.487646 5.12 -171.90 54.24
01:30.581 0 59.328771 -28.412061 -2.486260 4.65 -171.92 54.38
01:30.613 0 59.327240 -28.411566 -2.486648 4.82 -172.73 54.42
01:30.647 0 59.323776 -28.410583 -2.486610 5.46 -171.18 54.53
01:30.681 0 59.322967 -28.409199 -2.486410 5.92 -172.46 54.48
01:30.714 0 59.321069 -28.406685 -2.486869 5.88 -172.81 54.42
01:30.747 0 59.322265 -28.407585 -2.386478 4.63 -170.64 54.95
01:30.781 0 59.323881 -28.407580 -2.386394 4.88 -172.59 54.81
